obligation_slug,jurisdiction,nist_control_id,coverage_level,notes
us-tx-traiga-552-051-gov-disclosure,US-TX,GOVERN-1.1,fully_satisfies,Legal & regulatory requirements managed
us-tx-traiga-552-051-gov-disclosure,US-TX,MAP-3.3,partially_satisfies,Targeted application scope
us-tx-traiga-552-051-gov-disclosure,US-TX,MEASURE-2.8,partially_satisfies,Transparency and accountability
us-tx-traiga-552-051-gov-disclosure,US-TX,MANAGE-4.1,supports,Post-deployment monitoring
us-tx-traiga-552-051-f-healthcare,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-051-f-healthcare,US-TX,MAP-1.1,partially_satisfies,Healthcare context
us-tx-traiga-552-051-f-healthcare,US-TX,MAP-3.5,partially_satisfies,Human oversight workflow
us-tx-traiga-552-051-f-healthcare,US-TX,MEASURE-2.8,partially_satisfies,
us-tx-traiga-552-051-f-healthcare,US-TX,MANAGE-4.1,supports,
us-tx-traiga-552-052-manipulation,US-TX,GAI-3,safe_harbor,GenAI dangerous content
us-tx-traiga-552-052-manipulation,US-TX,GAI-11,safe_harbor,GenAI obscene content
us-tx-traiga-552-052-manipulation,US-TX,MAP-1.1,partially_satisfies,
us-tx-traiga-552-052-manipulation,US-TX,MAP-5.1,partially_satisfies,Harm impact analysis
us-tx-traiga-552-052-manipulation,US-TX,MEASURE-2.6,partially_satisfies,AI safety eval
us-tx-traiga-552-052-manipulation,US-TX,MEASURE-3.3,supports,Feedback discovery defense
us-tx-traiga-552-052-manipulation,US-TX,MANAGE-1.3,partially_satisfies,Risk mitigation
us-tx-traiga-552-052-manipulation,US-TX,MANAGE-4.3,partially_satisfies,Crisis pathway
us-tx-traiga-552-053-social-scoring,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-053-social-scoring,US-TX,MAP-1.1,partially_satisfies,
us-tx-traiga-552-053-social-scoring,US-TX,MAP-3.3,partially_satisfies,
us-tx-traiga-552-053-social-scoring,US-TX,MEASURE-2.11,supports,Fairness & bias
us-tx-traiga-552-054-biometric,US-TX,GAI-4,safe_harbor,Biometric data privacy
us-tx-traiga-552-054-biometric,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-054-biometric,US-TX,GOVERN-6.1,partially_satisfies,Third-party policies
us-tx-traiga-552-054-biometric,US-TX,MAP-4.1,partially_satisfies,Training data legal risks
us-tx-traiga-552-054-biometric,US-TX,MEASURE-2.7,fully_satisfies,
us-tx-traiga-552-054-biometric,US-TX,MEASURE-2.10,fully_satisfies,Privacy risk
us-tx-traiga-552-054-biometric,US-TX,MANAGE-1.3,partially_satisfies,
us-tx-traiga-552-055-constitutional,US-TX,GOVERN-1.1,fully_satisfies,
us-tx-traiga-552-055-constitutional,US-TX,MAP-1.1,partially_satisfies,Legitimate purpose
